I,Q
2.513154423039829499e+00,5.244320709376810996e-02
2.457132357164514946e+00,-1.460820292699262224e-03
2.510089595926703776e+00,3.875575607945430656e-02
2.416267893184612880e+00,-5.227647428370266192e-02
2.542116937000094001e+00,-1.313039663492606996e-03
2.391665519566835929e+00,-3.122552275442887215e-02
2.427371995885045486e+00,3.734904200523549156e-02
2.441829511563634370e+00,1.574578113099788738e-03
2.366158772257586307e+00,3.450368381683063118e-02
2.430430140630042146e+00,5.438552130789330724e-02
2.312968039194682746e+00,3.458092875606941924e-02
2.425612706092039161e+00,1.365592171468221067e-02
2.330090774536208720e+00,-4.991061292557026630e-02
2.281844318656571780e+00,-1.393055333450619036e-04
2.287568299624438417e+00,-2.665452010079165726e-02
2.336796328378063059e+00,-1.720319783521133059e-02
2.255145835067821736e+00,-1.872670753751254358e-02
2.225398866285648758e+00,-4.899627873911222703e-02
2.225720675613248822e+00,-9.786692945669950294e-02
2.156654715860415017e+00,-3.340715241638834293e-02
2.295055871596522579e+00,9.668972596207954170e-03
2.169816530566363255e+00,-6.740885227137451141e-02
2.229768018154479226e+00,7.841118235812172092e-04
2.178594422934352348e+00,9.501342121554823272e-02
2.091852264437022768e+00,5.115282776261196457e-02
2.116430278042647384e+00,8.217707545602646879e-02
2.141603330290889673e+00,1.955639384663631145e-02
2.086671236274371566e+00,5.837549114932230609e-02
2.147900766798039651e+00,-3.619823652338937520e-02
2.121844422367079375e+00,-3.221701335109921488e-02
2.090307121485784680e+00,-1.369570103068736555e-01
1.994997241514328223e+00,5.930727370211495014e-02
1.946708565365991683e+00,7.701619899099430844e-02
1.962503522798698663e+00,-2.765886226736349873e-02
1.996861889010652646e+00,-1.269758531986175422e-02
2.000104505327166660e+00,-3.769310568454807553e-02
1.839960755188345454e+00,1.913267757387458051e-02
1.921117667256961870e+00,5.624662726516204553e-02
1.909594990463057362e+00,-8.713859869405204961e-02
1.878492468262117354e+00,2.047192653211261579e-02
1.951779888736286717e+00,-1.383358858595727138e-02
1.897418875213049416e+00,5.669719598334468057e-03
1.920868525463614640e+00,2.294970008371454914e-02
1.818474794813801143e+00,-9.410121938641057698e-03
1.854663575178399304e+00,-5.179342670289030851e-03
1.878176570114171939e+00,-1.069375837773194581e-02
1.856994320573989166e+00,4.851581008941407286e-02
1.728875880589159753e+00,2.093799800637483055e-02
1.753832491118568759e+00,1.102917688686803899e-02
1.725606042962008368e+00,-6.354758605461413579e-02
1.745498957750270419e+00,-1.892898716065771064e-02
1.742185309751274058e+00,4.493345801695871472e-02
1.660323743628385307e+00,1.884828656196145232e-03
1.699940647195393728e+00,3.297657347945692069e-02
1.582743859656486674e+00,8.832559001638168317e-02
1.735841824784681853e+00,5.193030346044083534e-02
1.617480027569554446e+00,4.657916884987117236e-03
1.631681293013304668e+00,-2.554945850978635608e-02
1.606817587369413491e+00,-1.276774798027949243e-01
1.675165577970409547e+00,-8.419246123642627408e-03
1.466963149653308429e+00,-1.630062479084245716e-02
1.592428249454039380e+00,1.951830971976878382e-02
1.570019072847804731e+00,-7.695261348734380030e-03
1.538576309753421745e+00,-1.601925297183971753e-02
1.640062081877957434e+00,-8.896994652536104053e-02
1.505366182975989897e+00,-4.699839145750332736e-02
1.582278891561931466e+00,2.383255204002787675e-02
1.550523324287707227e+00,8.579538155663472832e-02
1.581787415279267695e+00,-4.876269187281172257e-03
1.472922062170792135e+00,1.639055367870616634e-02
1.461803109315143789e+00,4.762390784764027052e-02
1.549070652160172479e+00,-4.054469681001249270e-02
1.511428835542883542e+00,1.834070216427211367e-02
1.406130625581479832e+00,-3.702450531660792660e-02
1.447130444782423586e+00,4.324122192455057134e-02
1.484077987802167264e+00,7.570152397586631283e-03
1.499553263767403388e+00,1.492259069907198900e-02
1.419224229769720180e+00,-3.912992987092945435e-02
1.304260063125002755e+00,3.535161798053924886e-02
1.472626902537640392e+00,1.042356460615508074e-01
1.381020568494020662e+00,-5.039558477141031084e-02
1.336123226517728302e+00,-1.698795038237619140e-02
1.290352806849833112e+00,1.158037370840459164e-02
1.468294735051544952e+00,3.932031059979082532e-02
1.430901315790497508e+00,-2.797731426447344627e-02
1.411726581207887854e+00,-1.416515145071370052e-01
1.492351211643091036e+00,6.795947470820125347e-02
1.454687242872806374e+00,3.802530597920713434e-02
1.502035572450676204e+00,-8.714737652433325599e-02
1.348190919457663561e+00,-3.037843958897779723e-02
1.412702639749976230e+00,7.840912147636630580e-02
1.332893223357231927e+00,7.238982092289329706e-02
1.405365217042546355e+00,4.693200113394723622e-02
1.409297745221551157e+00,-8.805621697993133365e-03
1.455954580976779988e+00,4.149370940625498813e-03
1.425661445861378329e+00,-6.546290256306325737e-03
1.451062801259002999e+00,5.641198916344188075e-02
1.454060879294994724e+00,-4.379212032475551103e-02
1.531493827330382196e+00,-4.028998274421023706e-02
1.417166335064052873e+00,5.051372934180078933e-02
1.393843011882574645e+00,-2.218072775578081978e-03
1.455328304397239148e+00,6.892336777269041093e-02
1.400006566096756666e+00,-3.357561034902728503e-02
1.512298333908123738e+00,-2.738918016941255165e-03
1.429119101669394043e+00,-4.612064924219766437e-02
1.427219082457614974e+00,3.681340711783567701e-04
1.444904900497276490e+00,-7.392734684993994276e-02
1.510900990478706740e+00,-2.438167104774814284e-02
1.465805046037487624e+00,-7.181269324640589258e-02
1.438717679367516267e+00,3.469616165956290743e-02
1.558056869717181270e+00,3.582946698798258195e-02
1.445626602487157131e+00,-8.651313652421725731e-02
1.507503921867065166e+00,6.669428727502864362e-02
1.549825722294916552e+00,1.248707563209927041e-01
1.437128589927294087e+00,2.300319336817047665e-03
1.539334513810416416e+00,-3.205571301123224387e-02
1.464594822709607946e+00,1.412165295501523199e-01
1.571876920032844849e+00,-6.594842491512553639e-02
1.502990548361898160e+00,1.005323343454919477e-03
1.602286715213495638e+00,8.981113631596171834e-03
1.628254357220158877e+00,6.725738102262072970e-02
1.613084916660667334e+00,1.798694875633942078e-02
1.582344104217543013e+00,-2.493169478942257322e-02
1.569839284798375090e+00,-4.755921851939780981e-02
1.574488963249391249e+00,-1.709109101230677982e-02
1.697934652313433102e+00,-5.034636804725720755e-02
1.599316663288026463e+00,2.391265989234147345e-03
1.581048731694706611e+00,-2.820980899302432884e-02
1.663937757387921712e+00,-7.470188966448752799e-02
1.599615452601904186e+00,6.275728941874518518e-02
1.613636353358356867e+00,-2.488362617145196964e-02
1.613583675648315729e+00,-6.340684024876562519e-02
1.676460349814811845e+00,-8.412956724377076631e-03
1.697798965050614228e+00,3.418578298382937957e-03
1.710604212978093175e+00,-8.732333627895168260e-02
1.751302771866783070e+00,1.658238335628814050e-02
1.749988397380787708e+00,-5.235787843451322754e-02
1.740891235011880367e+00,8.555144045953938514e-02
1.760148276421442670e+00,2.619802560383674081e-02
1.800602151705282594e+00,-1.999499950546582833e-02
1.835057523103210464e+00,-3.725838851586752570e-02
1.779534036947177489e+00,-5.248385378181197672e-03
1.766513058618863985e+00,3.063953707916448888e-02
1.767670476078926800e+00,-1.274706429259983044e-03
1.768812188122039109e+00,-1.085794035684283128e-02
1.883795979088927597e+00,2.918514540894782613e-03
1.876750716228487104e+00,-3.019294656184773329e-02
1.875493946612364571e+00,-1.716029634215188518e-02
1.852870072413292268e+00,-1.042896219452502105e-01
1.955883452979103820e+00,4.868631154261839067e-02
1.888141740030048199e+00,1.493988901608809573e-02
1.974133891094130622e+00,-3.867279220167151033e-02
1.924006859054468999e+00,9.493674906776194966e-02
1.892177526392668119e+00,4.350824019619327528e-03
1.960412851074215812e+00,-5.180717859875984266e-02
1.974861544839903615e+00,4.283687107352292245e-02
2.000677531955560084e+00,1.990241082546312379e-02
2.005288912897951636e+00,1.972899927421097044e-02
2.002062917245098550e+00,-2.128778023257952776e-02
2.119053639426881741e+00,2.252478618890173603e-02
2.062662832724482698e+00,-1.308791451105472715e-02
2.059312707329616465e+00,2.779707258229210942e-02
2.057250091989048624e+00,-9.524722270053194439e-02
2.124076029329879933e+00,-2.169367314895945600e-02
2.106112802246915106e+00,8.610775489040974062e-02
2.077457601725849479e+00,-3.835337277001502759e-02
2.060986532232000901e+00,-3.019191487465933132e-02
2.087160548558626427e+00,-2.239806692249875567e-02
1.959602221836042268e+00,-6.074030679443216674e-02
2.153253397631174071e+00,-1.104140388114126098e-01
2.128718443785176717e+00,-1.152931992618064228e-02
2.230100513532539352e+00,6.792971204082844452e-03
2.148590648431721650e+00,-2.625253426932608759e-03
2.098224324857031142e+00,-7.243928097394342763e-03
2.179077700365766646e+00,2.152043542519382468e-03
2.154994648690817360e+00,5.114207357753820793e-02
2.244999792316313858e+00,-9.522309296460839886e-03
2.235469711986775465e+00,-2.870412885436348163e-02
2.264250171526338562e+00,-1.405627424440431678e-02
2.182056178314635275e+00,2.896733798783878919e-02
2.243060792833092787e+00,7.060134392716248264e-02
2.198420770038298500e+00,-3.140718695845892000e-02
2.318622784385160340e+00,4.946689351444186027e-03
2.311853312923813686e+00,1.691787209679798329e-02
2.305583521903529665e+00,-4.962890033644114934e-02
2.281928521367197149e+00,1.020858360645906507e-03
2.317527968854920406e+00,-7.328369286710476049e-02
2.400401719893320518e+00,-8.845251518696994886e-02
2.324532589665816218e+00,1.833732039461285004e-02
2.350906636379079817e+00,-1.919373706653914116e-02
2.285022734594738036e+00,1.011402038106095670e-02
2.293710525416953416e+00,-8.947488504175027000e-04
2.351953412564534496e+00,-4.882000243318987409e-02
2.422468103875493828e+00,-2.262715098216823775e-03
2.373448980151902088e+00,-6.165506525074276184e-02
2.382089823794013572e+00,6.954861790007003941e-02
2.370101799939685172e+00,-6.779851724299819360e-02
2.359315194267445737e+00,-9.789263548429067222e-03
2.406027466355715294e+00,-5.211357940236242131e-02
2.332542221166110874e+00,2.852105866803977818e-02
2.489456467848372156e+00,-1.657156856407514256e-02
2.401424994425094717e+00,-2.593333598106050894e-02
2.468909393869834989e+00,4.266007725257772720e-02
2.363773204670719164e+00,1.471529583877609305e-03
2.461897308255925232e+00,2.583222229679836557e-02
2.473663579022627790e+00,-4.906629682587324015e-02
2.475062951032639180e+00,-7.024084719637534169e-02
2.416052479077127835e+00,5.360398102006683207e-03
2.477867745251148168e+00,-1.594231777473656061e-02
2.400396021711248107e+00,3.132173362269721067e-02
2.444951868183502519e+00,-3.995422633127485544e-03
2.516198902749580135e+00,1.025376696173149575e-02
2.517206980590538379e+00,-8.116912649706217731e-02
2.487563303026933070e+00,9.442184698071283411e-02
2.438748559223501644e+00,-8.212099251601594208e-03
2.514167503223077915e+00,3.487934851695995153e-02
2.478720324252771334e+00,-4.180458351098132602e-02
2.364852833622626882e+00,1.540049511086704660e-02
2.528987866063280521e+00,-6.514223817623726598e-02
2.496548808416839904e+00,2.260339191298355033e-02
2.558938235675129569e+00,-1.779870421929163893e-02
2.438875199030455576e+00,1.459525196778372388e-03
2.329345918800245663e+00,3.489870150650487696e-02
2.501965409857503264e+00,-6.162701556101401329e-02
2.507853093416002377e+00,-3.422458653063985279e-02
2.414320535518150290e+00,2.286621405433827622e-02
2.450535864235427130e+00,1.049110737273373506e-01
2.632311773912954234e+00,-6.904116733074088484e-03
2.473115266204459317e+00,2.955680589619662582e-02
2.522338861633870888e+00,-5.348573492924003393e-03
2.455129332071365411e+00,9.711227973781498546e-02
2.385958496386135774e+00,-8.736108334826278576e-02
2.481342299144614127e+00,4.731052233467900742e-03
2.471517112348270651e+00,-8.127720167810305318e-02
2.458270785835034555e+00,-1.253285785268358488e-01
2.468299062911809560e+00,1.487310265589082692e-02
2.486345115625073543e+00,6.974889807372943416e-03
2.465622568597165554e+00,-1.424184688711006841e-02
2.407499961439002245e+00,-5.309704501987658198e-03
2.489258641898794089e+00,1.549149717035628870e-01
2.360586136248193245e+00,-1.290875690157172045e-02
2.350300480866136965e+00,2.550621806250374587e-02
2.486868075109884391e+00,-3.246824098069404918e-02
2.472760228454335518e+00,1.476162875203015749e-02
2.440016735023228911e+00,-1.191168375278087686e-02
2.366143038296329326e+00,-2.052592413648650360e-02
2.393037496368343398e+00,9.094492661001624123e-02
2.409421646503172809e+00,5.885924815921694808e-02
2.338587560181003777e+00,6.837332369961534283e-03
2.377021318846721520e+00,-1.152105967971983475e-01
2.440032348105489302e+00,-1.805046116262848388e-02
2.470219419640075298e+00,1.351513782202541925e-01
2.369456717428084058e+00,-1.153308333198540744e-02
2.421830352059617830e+00,5.516087860268290705e-02
2.283448910168211388e+00,7.209712009763004359e-02
2.406523460592926433e+00,1.094819579279875457e-02
2.325144234103739826e+00,-4.209108159340761712e-02
2.370445038784181335e+00,-1.217656165891444209e-01
2.332970887986978603e+00,3.420816043044772742e-02
2.404270381326807371e+00,-4.073780014117740766e-02
2.289348911396124731e+00,8.807522594384607426e-03
2.358358834604106669e+00,-6.249101697946821132e-02
2.303759569888982561e+00,-1.326187702351011057e-02
2.298046605254854935e+00,1.685952745052662254e-03
2.285541789226641196e+00,1.342967905221489379e-02
2.244389671162563715e+00,-5.574110936762071561e-02
2.280555375948183361e+00,5.984554743806761584e-02
2.272096818669293139e+00,-2.984473923659856920e-02
2.277740093812877120e+00,-8.372347302266226754e-02
2.257099855753400774e+00,-5.451170998173190778e-03
2.280058718620284974e+00,1.718765451323004713e-03
2.277053109744155535e+00,8.029471658587989530e-03
2.172568181922898578e+00,6.810662018425396591e-02
2.262885214810440804e+00,-1.182244183679296949e-02
2.150964742583080014e+00,-5.980981218438567379e-03
2.226526328896029305e+00,-5.515921906165467681e-02
2.214217947685915622e+00,4.102767514439484980e-02
2.077020589395971673e+00,9.215453203905174182e-03
2.170828985929398325e+00,-2.100138636470812864e-02
2.137534478685014783e+00,-9.523373467327318764e-02
2.114775264378478514e+00,7.222060975275437777e-02
2.207535302384628917e+00,-6.138399822280286161e-02
2.092786758503994538e+00,-2.956390046848528241e-02
2.073225184687882638e+00,1.791722555380016388e-02
2.110022235124456635e+00,-5.982789643083433195e-02
2.135551356575636550e+00,-7.467548891265717026e-02
2.087147105340331876e+00,-1.061973791350332430e-01
2.140973077372182676e+00,3.604984764528178925e-02
2.094820823714239832e+00,-2.725931223631609945e-02
1.946508663472948042e+00,1.463635046236665127e-01
2.020584982646517425e+00,-4.971775328154367374e-02
2.013934681150065131e+00,-4.607255117144606893e-02
2.060158098561969631e+00,-2.826964851427007583e-02
1.895056906971602340e+00,1.215673275692445536e-02
2.140335593763587507e+00,-2.351016693926556711e-02
2.026277306375790399e+00,3.061661070012560229e-02
1.997822526935166154e+00,-4.892941949943271918e-02
2.044016170802499754e+00,-6.907958592317905988e-02
2.097237956299291550e+00,-8.991073697045537383e-02
2.015644736283711325e+00,-1.111787083968598377e-01
2.007865462716632798e+00,-2.590345097375284025e-02
1.954304672238327711e+00,-1.504901561966109740e-02
1.930707509640995356e+00,-3.157185137415916693e-02
1.907909605464306102e+00,6.217028985935810215e-02
1.886044992482684979e+00,6.140151048040675547e-02
1.886943982443237688e+00,-1.674014937222509380e-02
1.844368800239574391e+00,-8.969605565959815063e-02
1.896832097830249975e+00,-2.833525540275264043e-02
1.806388119218304444e+00,-2.999106969585307522e-02
1.893427218218212138e+00,-3.285674811390289912e-02
1.877784898622677057e+00,-3.488594519491224760e-02
1.882441324175343711e+00,-3.267314478624035873e-02
1.842120860719992592e+00,-1.932708079488798872e-02
2.012982046725917851e+00,-3.177705494077783660e-02
1.917946686896003561e+00,1.041612543127960755e-02
1.780594707281689226e+00,1.801843579524305475e-02
1.849884430959201520e+00,-4.553225435912449520e-02
1.804333834654310520e+00,6.355326630035167124e-02
1.779565056911126097e+00,-4.900311509203070931e-02
1.756952023211146408e+00,-8.089003069076686203e-02
1.838074987668301352e+00,1.903890356825258673e-02
1.775465156921367305e+00,-4.087040672071699104e-02
1.852894041698919692e+00,1.606457353786940045e-02
1.851059971456967546e+00,-1.201834300550265189e-01
1.867598440537876714e+00,6.962279707415337804e-02
1.752938182718511761e+00,3.361467040202011092e-02
1.814362307052802104e+00,-7.502382745815008858e-02
1.816268063147515877e+00,-7.393885619231428674e-02
1.755604572338156588e+00,8.361329520487638389e-02
1.737418001613677987e+00,-3.686899517489793110e-02
1.855295697092694152e+00,-4.170924243663119008e-02
1.785675899836281388e+00,-1.133026047074641440e-01
1.804251398876601353e+00,-1.753891028007770886e-02
1.727273068437577663e+00,-1.138598074178764213e-02
1.702244877767404185e+00,3.577465483847426519e-02
1.730919279209321537e+00,-6.995392140922378210e-02
1.752475841605739104e+00,-7.601433961203048206e-02
1.707233115705601989e+00,2.254813173882384489e-02
1.761451901349788685e+00,5.033650356135324633e-02
1.676147683615508477e+00,-7.855761755589416029e-02
1.700288478217331534e+00,5.407570431498706642e-02
1.785484293911893339e+00,1.877092074341072704e-03
1.781125792401399011e+00,5.459026695373228599e-02
1.734561256062583379e+00,-3.511018075880828829e-03
1.707931324958050778e+00,-1.261138958743975302e-01
1.709399474419494247e+00,-7.598369115801944206e-03
1.739570813165046026e+00,5.300719093356349998e-02
1.785890867002617233e+00,-4.468730095418571580e-02
1.798231550680012614e+00,-1.939824844537261020e-02
1.730677101782024607e+00,-8.806675177548914726e-03
1.705068056567156098e+00,-1.449756939934241096e-01
1.781681966158129571e+00,8.356737877187381258e-02
1.727172539954601405e+00,-4.506878399485872433e-02
1.738268105513168127e+00,2.528677162363994826e-02
1.827517848933992273e+00,-4.335056807410436579e-03
1.805791342388319620e+00,6.288095281796800273e-02
1.781232123459447259e+00,2.030280612140404617e-02
1.718747967023114720e+00,-1.174621357604873143e-02
1.796249027776548379e+00,-4.467575462596401481e-02
1.835859031332752078e+00,3.989253506910694913e-02
1.760066500745645079e+00,-9.367206519773084439e-02
1.848295744880914748e+00,3.229452101379462481e-02
1.854827419253046061e+00,-5.495223757774363865e-02
1.885306080337565415e+00,6.261418309783199632e-02
1.824378368087111069e+00,8.064977133134755907e-03
1.837618818860187631e+00,3.220618839250543458e-02
1.874604988534025907e+00,4.099440691235968839e-03
1.826390016022662488e+00,-8.761885475704983550e-02
1.787827743452937490e+00,-4.303645816976692240e-02
1.804417562809789821e+00,3.361946688056912519e-02
1.849441349748162100e+00,8.332790867992200326e-03
1.774981096247016721e+00,5.904949526528360804e-02
1.828254546309032058e+00,2.016372815185858702e-02
1.888503137669597320e+00,-4.833509453513298859e-02
1.731405182425897804e+00,-3.980320688603170010e-02
1.932546767375590724e+00,5.145869526161861440e-03
1.925895635942926454e+00,-1.157022033000052741e-01
1.852197282843144999e+00,8.367209428114925907e-02
1.899398864056159209e+00,2.208733681887786390e-02
1.869059663534627935e+00,6.135172985244361638e-02
1.935394060483694112e+00,-7.903019704045845251e-02
1.937569010715955553e+00,6.222825801776278587e-02
1.834921832608520598e+00,1.115749455513874305e-01
1.943339651267221857e+00,-6.604391776886588128e-02
1.902741475447180752e+00,3.857008974518832956e-02
1.912854107170842699e+00,5.549723436465732728e-05
1.874634518019637541e+00,-7.722169241241222393e-02
2.011528360117963210e+00,2.464419859259349074e-02
1.994124074552916071e+00,4.168016024186742274e-02
1.917687505313781404e+00,-3.005632763344234445e-02
1.889719674224522805e+00,5.829582601276114828e-02
1.932690536829326788e+00,-8.333817033945989383e-02
1.973396620490543985e+00,-7.473780732248221093e-02
1.974356514836792309e+00,6.829869779437618312e-03
2.043325321867859312e+00,1.269263898613585961e-03
2.035720054592415007e+00,-3.582867442120526297e-02
2.049678566480469311e+00,4.047972179859429809e-02
2.013804323966349674e+00,2.654471571079746947e-02
1.925450007088888471e+00,4.290695354670080036e-02
